Tamaño,Mes,Dia,Año,Raiz,SubDir,SubDir2,Nombre
123878777,4,8,2018,0,2,2.0,adviser201804080125.sql
123900391,4,9,2018,0,2,2.0,adviser201804090125.sql
124041575,4,10,2018,0,2,2.0,adviser201804100125.sql
124141421,4,11,2018,0,2,2.0,adviser201804110125.sql
124240672,4,12,2018,0,2,2.0,adviser201804120125.sql
124325780,4,13,2018,0,2,2.0,adviser201804130125.sql
124394765,4,14,2018,0,2,2.0,adviser201804140125.sql
124422924,4,15,2018,0,2,2.0,adviser201804150125.sql
124422924,4,16,2018,0,2,2.0,adviser201804160125.sql
124542560,4,17,2018,0,2,2.0,adviser201804170125.sql
124631862,4,18,2018,0,2,2.0,adviser201804180125.sql
124694723,4,19,2018,0,2,2.0,adviser201804190125.sql
124766106,4,20,2018,0,2,2.0,adviser201804200125.sql
124894334,4,21,2018,0,2,2.0,adviser201804210125.sql
124965974,4,22,2018,0,2,2.0,adviser201804220125.sql
124991569,4,23,2018,0,2,2.0,adviser201804230125.sql
125132908,4,24,2018,0,2,2.0,adviser201804240125.sql
125299413,4,25,2018,0,2,2.0,adviser201804250125.sql
125471820,4,26,2018,0,2,2.0,adviser201804260125.sql
125551915,4,27,2018,0,2,2.0,adviser201804270125.sql
125601510,4,28,2018,0,2,2.0,adviser201804280125.sql
125625224,4,29,2018,0,2,2.0,adviser201804290125.sql
125625224,4,30,2018,0,2,2.0,adviser201804300125.sql
126394150,5,1,2018,0,2,2.0,adviser201805010125.sql
126394250,5,2,2018,0,2,2.0,adviser201805020125.sql
126511604,5,3,2018,0,2,2.0,adviser201805030125.sql
126664338,5,4,2018,0,2,2.0,adviser201805040125.sql
126761037,5,5,2018,0,2,2.0,adviser201805050125.sql
126793726,5,6,2018,0,2,2.0,adviser201805060125.sql
126793726,5,7,2018,0,2,2.0,adviser201805070125.sql
128066164,5,8,2018,0,2,2.0,adviser201805080125.sql
128186510,5,9,2018,0,2,2.0,adviser201805090125.sql
128315910,5,10,2018,0,2,2.0,adviser201805100125.sql
128484919,5,11,2018,0,2,2.0,adviser201805110125.sql
128762127,5,12,2018,0,2,2.0,adviser201805120125.sql
128606496,5,13,2018,0,2,2.0,adviser201805130125.sql
128606496,5,14,2018,0,2,2.0,adviser201805140125.sql
128606496,5,15,2018,0,2,2.0,adviser201805150125.sql
128709434,5,16,2018,0,2,2.0,adviser201805160125.sql
128892932,5,17,2018,0,2,2.0,adviser201805170125.sql
129025833,5,18,2018,0,2,2.0,adviser201805180125.sql
129099254,5,19,2018,0,2,2.0,adviser201805190125.sql
129119589,5,20,2018,0,2,2.0,adviser201805200125.sql
129119589,5,21,2018,0,2,2.0,adviser201805210125.sql
